Year,Actual,Forecast Manual ARIMA,Forecast Auto ARIMA,Forecast ES
1962-01-01,161811.0000000001,159653.81979984613,162852.33347978452,162320.73104722006
1963-01-01,164664.0000000001,159807.66975544224,162236.65822031302,164358.1641433197
1964-01-01,165899.99999999985,159782.7129775213,162096.01817091941,166421.1708897741
1965-01-01,169790.00000000003,159786.75944464403,166430.4234711415,168510.07228440768
1966-01-01,168683.99999999994,159786.10330460442,168576.60382969817,170625.19335417738
1967-01-01,161580.99999999994,159786.2096972751,170945.7130585053,172766.8632057447
1968-01-01,165522.0,159786.19244573984,171963.4494455491,174935.41507668444
1969-01-01,171490.99999999994,159786.19524306938,173031.72096040435,177131.18638733408
1970-01-01,178091.99999999988,159786.19478948347,175627.58967070776,179354.51879329747
1971-01-01,180219.0000000001,159786.19486303223,177804.77770327192,181605.75823860394
1972-01-01,176843.9999999999,159786.19485110624,180092.54695320033,183885.25500953716
1973-01-01,179993.0,159786.19485304004,181821.330594587,186193.363789137
1974-01-01,168422.99999999985,159786.1948527264,183502.06010033857,188530.4437123894
1975-01-01,164615.00000000003,159786.1948527772,185689.13169944118,190896.85842210523
1976-01-01,163325.00000000012,159786.19485276897,187856.74525759552,193292.97612550293
1977-01-01,164915.9999999999,159786.1948527704,190107.08331405802,195719.16965149887
1978-01-01,165007.99999999985,159786.1948527701,192156.33923127592,198175.81650872072
1979-01-01,175863.9999999999,159786.1948527701,194168.0726525056,200663.2989442451
1980-01-01,157974.00000000003,159786.1948527701,196347.51576426456,203182.00400307498
1981-01-01,152936.99999999988,159786.1948527701,198570.37106179484,205732.3235883613
1982-01-01,149582.9999999999,159786.1948527701,200855.3182265985,208314.65452238393
1983-01-01,148825.00000000012,159786.1948527701,203085.57802122497,210929.39860829493
1984-01-01,144350.99999999994,159786.1948527701,205305.59305409595,213576.9626926384
1985-01-01,152673.9999999999,159786.1948527701,207588.55416793513,216257.75872865322
1986-01-01,155107.0000000001,159786.1948527701,209912.77043045143,218972.20384037413
1987-01-01,155950.00000000006,159786.1948527701,212283.57345950764,221720.72038753328
1988-01-01,155566.99999999997,159786.1948527701,214655.0808340756,224503.73603127914
1989-01-01,158636.99999999988,159786.1948527701,217036.22147670647,227321.68380071767
1990-01-01,151601.99999999988,159786.1948527701,219451.67332601143,230175.00216029273
1991-01-01,154576.00000000006,159786.1948527701,221901.3894544752,233064.13507800834
1992-01-01,151698.9999999999,159786.1948527701,224388.58833016938,235989.5320945096
1993-01-01,148817.0000000001,159786.1948527701,226896.31384466184,238951.64839302818
1994-01-01,149096.99999999994,159786.1948527701,229424.94849290178,241950.9448702101
1995-01-01,146746.00000000003,159786.1948527701,231982.24690624094,244987.88820782813
1996-01-01,150378.00000000003,159786.1948527701,234570.68934813217,248062.95094539708
1997-01-01,143808.0000000001,159786.1948527701,237192.53489179478,251176.61155369776
1998-01-01,145051.99999999994,159786.1948527701,239842.05060241968,254329.35450922814
1999-01-01,144788.00000000003,159786.1948527701,242518.47361376786,257521.670369585
2000-01-01,147746.0000000001,159786.1948527701,245224.091134347,260754.0558497939
2001-01-01,148857.9999999999,159786.1948527701,247960.61787025604,264027.0138995949
2002-01-01,144161.99999999994,159786.1948527701,250729.53027121164,267341.05378170277
2003-01-01,147261.0000000001,159786.1948527701,253529.2058648557,270696.691151045
2004-01-01,147051.99999999988,159786.1948527701,256359.2368447417,274094.4481349969
2005-01-01,147962.9999999999,159786.1948527701,259220.3423451311,277534.8534146217
2006-01-01,147657.0,159786.1948527701,262113.48992591782,281018.44230693404
2007-01-01,144102.99999999997,159786.1948527701,265039.62241311575,284545.7568481922
2008-01-01,141992.9999999999,159786.1948527701,267998.52899572713,288117.34587823827
2009-01-01,128639.00000000001,159786.1948527701,270990.205197539,291733.765125894
2010-01-01,134499.00000000006,159786.1948527701,274015.01494740223,295395.57729543344
2011-01-01,122123.99999999997,159786.1948527701,277073.5551735756,299103.35215413646
2012-01-01,127781.00000000004,159786.1948527701,280166.47331154614,302857.66662094346
2013-01-01,124965.99999999996,159786.1948527701,283294.0117443429,306659.1048562205
2014-01-01,114485.99999999991,159786.1948527701,286456.4042266688,310508.25835265586
