Actual,Exponential Smoothing Forecast
2.086,1.0523924551451973
1.424,0.6737446895309964
-0.372,1.0832199793031148
1.615,1.1228950073934492
2.082,0.6394782485146212
0.851,0.7365502489374199
1.092,0.6751651819584354
3.22,0.5063437744762677
2.7870000000000004,1.0658006750327105
-2.527,1.1174283040479016
3.755,1.0553365500404996
0.936,1.0856856709189797
2.38,1.0658474827087614
0.4539999999999999,0.6871997170945606
0.92,1.0966750068666788
2.197,1.1363500349570133
0.482,0.6529332760781851
0.21099999999999997,0.750005276500984
1.4360000000000002,0.6886202095219996
0.744,0.5197988020398318
0.974,1.0792557025962748
-0.709,1.130883331611466
-2.811,1.0687915776040637
0.951,1.099140698482544
0.17900000000000002,1.0793025102723255
0.426,0.7006547446581247
2.75,1.110130034430243
1.7119999999999997,1.1498050625205776
0.13000000000000006,0.6663883036417492
1.928,0.763460304064548
0.7779999999999999,0.7020752370855637
2.9740000000000006,0.533253829603396
3.1499999999999995,1.0927107301598387
4.374,1.14433835917503
3.941,1.082246605167628
3.6050000000000004,1.1125957260461077
0.7759999999999999,1.0927575378358896
0.978,0.7141097722216889
2.755,1.123585061993807
-0.13099999999999998,1.1632600900841417
1.771,0.6798433312053134
3.1970000000000005,0.7769153316281122
2.8309999999999995,0.715530264649128
1.9469999999999998,0.54670885716696
2.951,1.1061657577234028
0.986,1.157793386738594
2.069,1.0957016327311921
1.2299999999999998,1.126050753609672
0.595,1.1062125653994537
0.6040000000000001,0.727564799785253
2.763,1.1370400895573711
3.551,1.1767151176477053
-0.109,0.6932983587688775
-0.19700000000000004,0.7903703591916763
3.6490000000000005,0.7289852922126919
5.841,0.5601638847305243
1.833,1.119620785286967
3.35,1.1712484143021582
0.938,1.1091566602947562
0.908,1.139505781173236
1.932,1.1196675929630178
1.933,0.7410198273488169
2.009,1.150495117120935
1.5039999999999998,1.1901701452112696
3.73,0.7067533863324417
-0.273,0.8038253867552405
0.081,0.742440319776256
1.795,0.573618912294088
-0.984,1.1330758128505312
3.0269999999999997,1.1847034418657225
4.03,1.1226116878583203
0.333,1.1529608087368002
2.399,1.1331226205265819
2.599,0.754474854912381
1.548,1.1639501446844993
1.683,1.2036251727748337
-0.293,0.7202084138960058
2.451,0.8172804143188046
1.1540000000000001,0.7558953473398202
1.92,0.5870739398576522
4.447,1.1465308404140953
-1.6879999999999997,1.1981584694292866
-0.7909999999999999,1.1360667154218844
4.945,1.1664158363003643
4.244,1.1465776480901462
2.587,0.7679298824759452
3.537,1.1774051722480634
3.549,1.2170802003383978
2.04,0.73366344145957
2.247,0.8307354418823686
1.587,0.7693503749033843
3.081,0.6005289674212163
1.3299999999999998,1.1599858679776591
4.382,1.2116134969928505
3.34,1.1495217429854487
2.404,1.1798708638639286
-0.758,1.16003267565371
4.417,0.7813849100395093
2.32,1.1908601998116275
2.9189999999999996,1.2305352279019621
0.8550000000000001,0.7471184690231341
2.175,0.8441904694459328
1.394,0.7828054024669483
3.178,0.6139839949847805
4.355,1.1734408955412232
5.178,1.2250685245564146
2.04,1.1629767705490128
3.113,1.1933258914274927
0.19,1.1734877032172741
1.698,0.7948399376030735
1.004,1.2043152273751918
3.679,1.2439902554655262
1.7560000000000002,0.7605734965866983
1.3209999999999997,0.8576454970094969
2.557,0.7962604300305125
2.444,0.6274390225483446
1.396,1.1868959231047873
2.032,1.2385235521199787
1.696,1.1764317981125767
-1.031,1.2067809189910568
-0.848,1.1869427307808385
3.6530000000000005,0.8082949651666376
1.872,1.217770254938756
0.33199999999999996,1.2574452830290903
2.056,0.774028524150262
1.044,0.8711005245730611
1.143,0.8097154575940766
1.811,0.6408940501119088
3.5190000000000006,1.2003509506683514
4.359,1.2519785796835428
2.135,1.1898868256761408
0.57,1.2202359465546206
2.685,1.2003977583444025
2.999,0.8217499927302018
2.412,1.2312252825023196
3.77,1.2709003105926544
0.321,0.7874835517138262
3.922,0.8845555521366251
2.544,0.8231704851576408
1.177,0.6543490776754729
4.237,1.2138059782319157
3.317,1.265433607247107
2.577,1.2033418532397049
0.32700000000000007,1.2336909741181847
1.287,1.2138527859079666
3.181,0.8352050202937659
2.104,1.2446803100658839
2.143,1.2843553381562187
4.228,0.8009385792773903
3.175,0.8980105797001892
1.5519999999999998,0.8366255127212049
3.223,0.6678041052390371
